Competitor;Products;Value
Smar;02-3 Motion;160.230013
Num;04- C&S + Safety;23.38790559
Num;01- Safety Systems;132.77
Wago;01- Control Valves;145.9519457
Thermo Scientific;04- Sensors;1.30515
Thermo Scientific;01- Analyzers;144.27965
Sanyo Denki;02-3 Motion;143.04117
Banner;02-2 Drives LV;6.413714898
Banner;02-1 Motor Starters & Contactors;101.9893599
Banner;02-3 Motion;27.30454516
Banner;02-2 Drives MV;2.956307006
NEC;02-3 Motion;127.1100457
Beijer Electronics;04- C&S + Safety;124.6918913
Honeywell;03-1 OP & IPC;103.2501743
CCI;01- Analyzers;102.51
GE;03-3 CNC;100
Fagor Automation;03-3 CNC;101
PR Electronics;02-3 Motion;99.24835257
Weidmuller;02-1 Motor Starters & Contactors;91
Samson;04- C&S + Safety;90.5499958
Eaton;03-3 CNC;87
Teledyne;04- C&S + Safety;79.00326692
Lti Drives;03-3 Vision;78
Krohne;01- Control Valves;74.73
Ametek;03-1 OP & IPC;74.43941534
Pilz;02-1 Motor Starters & Contactors;72.814536
Panasonic;01- DCS;32.52916721
Panasonic;01- Instruments;37.44
Comeca;03-1 OP & IPC;63.83711518
TMEIC;03-1 OP & IPC;60.88523036
Halma;04- Sensors;57.12
Flowserve Flow Control Division;01- Analyzers;54
B&R;03-1 OP & IPC;51.28516954
EVOC Group;04- Sensors;43
Contrinex;03-2 PLC;27.37286524
Contrinex;03-3 Vision;15
Mettler-Toledo;04- Sensors;41.291712
Azbil;03-2 PLC;0.173191775
Azbil;04- C&S + Safety;38.27909998
FANUC;01- Analyzers;35.904
Bosch Rexroth;01- Instruments;35.58339023
Danaher Industrial;02-1 Motor Starters & Contactors;29
Schmersal;03-2 PLC;26.46957912
Schmersal;01- Instruments;2
Okuma;04- Sensors;27
Balluff;04- Sensors;17
Chint Electrics;03-2 PLC;9.662991289
Chint Electrics;04- C&S + Safety;9.141108987
Toshiba;03-2 PLC;11.96485498
Toshiba;03-1 OP & IPC;6.083366107
Sick;03-3 Vision;12
IFM Electronics;01- Instruments;10.1
Harting;01- Instruments;6.67
Other;01- DCS;1211.286379
Other;03-2 PLC;1125.0056
Other;04- C&S + Safety;6505.880996
Other;02-2 Drives LV;1468.396741
Other;02-1 Motor Starters & Contactors;1100.348977
Other;02-3 Motion;1240.134419
Other;03-3 CNC;434
Other;01- Control Valves;1688.246659
Other;04- Sensors;1833.868221
Other;01- Instruments;476.9730216
Other;03-1 OP & IPC;1218.376513
Other;01- Analyzers;2243.276818
Other;02-2 Drives MV;200.2304363
Other;01- Safety Systems;317.559071
Other;03-3 Vision;673
